#{"t_start": 1772386280.0391364, "env_id": null}
r,l,t
49.638967,59,653.011268
95.437045,100,657.681041
35.17587,50,660.053047
33.235909,38,661.897157
28.984078,42,663.928042
42.756132,47,666.270838
76.785797,90,670.730169
45.446883,56,673.625891
41.419868,51,676.200661
36.029496,47,678.429316
42.435083,52,680.987138
45.000489,62,683.812897
55.395989,61,686.659588
34.749491,47,689.094051
36.431489,49,691.649874
42.31365,56,694.424223
45.257676,51,696.966517
61.554643,65,699.900298
67.586945,72,703.157162
57.447916,72,706.921638
59.574002,63,710.104711
64.52823,78,713.778024
49.16625,58,716.474248
40.522306,52,719.000303
57.521121,58,721.994152
51.364043,63,724.96116
54.094148,60,727.714263
65.119946,81,731.369829
38.754681,50,733.704689
52.387551,79,737.531338
43.993034,56,740.40888
73.66379,92,744.924103
